"id","created_at","name","has_test","alternate_url"
"111570608","2024-11-22T11:08:02+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/111570608"
"111774190","2024-11-25T15:09:50+0300","Data Scientist",false,"https://hh.ru/vacancy/111774190"
"110283263","2024-11-29T12:27:07+0300","Data Scientist",false,"https://hh.ru/vacancy/110283263"
"112331201","2024-12-02T13:19:13+0300","Data scientist",false,"https://hh.ru/vacancy/112331201"
"112388836","2024-12-03T09:26:53+0300","Junior Data Scientist (Стажер)",false,"https://hh.ru/vacancy/112388836"
"112578650","2024-12-05T10:51:37+0300","Data scientist",false,"https://hh.ru/vacancy/112578650"
"112611475","2024-12-05T15:12:46+0300","Data Scientist / Machine Learning Engineer / Аналитик данных",false,"https://hh.ru/vacancy/112611475"
"112758327","2024-12-09T12:10:23+0300","Data Scientist",false,"https://hh.ru/vacancy/112758327"
"112763125","2024-12-09T13:02:19+0300","Младший специалист по анализу данных / Junior Data Scientist",false,"https://hh.ru/vacancy/112763125"
"112835758","2024-12-10T10:11:16+0300","Data Scientist",false,"https://hh.ru/vacancy/112835758"
"112836913","2024-12-10T10:25:06+0300","Data Scientist (NLP&ML)",false,"https://hh.ru/vacancy/112836913"
"112836663","2024-12-10T11:06:46+0300","Data Scientist",false,"https://hh.ru/vacancy/112836663"
"112873577","2024-12-10T15:38:13+0300","IT-рекрутер",false,"https://hh.ru/vacancy/112873577"
"112881529","2024-12-10T19:01:44+0300","Data scientist (NLP)",false,"https://hh.ru/vacancy/112881529"
"112567531","2024-12-11T07:38:34+0300","Data Scientist в области языковых моделей (Junior)",false,"https://hh.ru/vacancy/112567531"
"112951789","2024-12-11T08:25:30+0300","Project Manager (Team Lead)",false,"https://hh.ru/vacancy/112951789"
"112142594","2024-12-11T11:23:58+0300","Data Scientist (удаленно)",false,"https://hh.ru/vacancy/112142594"
"113007569","2024-12-11T13:39:08+0300","Data Scientist",false,"https://hh.ru/vacancy/113007569"
"113007582","2024-12-11T13:39:20+0300","Data Scientist",false,"https://hh.ru/vacancy/113007582"
"113008166","2024-12-11T13:48:55+0300","Ai Specialist",false,"https://hh.ru/vacancy/113008166"
